kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
DRAK1	CAMK	8	169	2	35	376	11901	1.4983003902807501	0.5833268949066148	0.17099205648816523	0.8146079518087107	0.7670240644820395	0.08905135485671296	1.8086626139817628	0.8549233142438329	0.30470594267160317	1.0000000000627258	0.5161190756614171	2.7241479467302745e-11	downregulated set	0.5528947147298546	-0.8549233142438329	0.30470594267160317	1.0000000000627258	0.5161190756614171	2.7241479467302745e-11
PDK1	AGC	17	169	2	35	525	11901	2.2802704987320372	1.189204975281107	0.0015551153839320376	0.03624615087164672	2.8082373823632367	1.4407381061677684	1.29534693877551	0.37333855336798527	0.46153039296193105	1.0000000000627258	0.33579969428912987	2.7241479467302745e-11	upregulated set	2.2802704987320372	1.189204975281107	0.0015551153839320376	0.03624615087164672	2.8082373823632367	1.4407381061677684
PKG1	AGC	3	169	0	35	438	11901	0.4823295776931183	-1.0519088122957647	0.9495351667119569	0.9999999999943993	0.022488946223300412	2.4323713852674953e-12	0.388160469667319	-1.3652748936797032	1.0000000000544143	1.0000000000627258	2.36318088947119e-11	2.7241479467302745e-11	upregulated set	0.4823295776931183	-1.0519088122957647	0.9495351667119569	0.9999999999943993	0.022488946223300412	2.4323713852674953e-12
PKG2	AGC	4	169	0	35	386	11901	0.7297421589968421	-0.454541290683828	0.800429849235643	0.9999999999943993	0.09667672423795741	2.4323713852674953e-12	0.4404515173945226	-1.18294487134661	0.9999999999735271	1.0000000000627258	1.1497049571013763e-11	2.7241479467302745e-11	upregulated set	0.7297421589968421	-0.454541290683828	0.800429849235643	0.9999999999943993	0.09667672423795741	2.4323713852674953e-12
DAPK1	CAMK	3	169	0	35	345	11901	0.6123488551582197	-0.7075743043601228	0.869799576743729	0.9999999999943993	0.06058080800421659	2.4323713852674953e-12	0.4927950310559006	-1.020940385744061	0.9999999999812688	1.0000000000627258	8.134873642426408e-12	2.7241479467302745e-11	upregulated set	0.6123488551582197	-0.7075743043601228	0.869799576743729	0.9999999999943993	0.06058080800421659	2.4323713852674953e-12
DAPK2	CAMK	4	169	0	35	334	11901	0.8433547106969492	-0.2457885458897999	0.7011259097325611	0.9999999999943993	0.15420398347153372	2.4323713852674953e-12	0.5090248075278015	-0.9741921265525819	1.0000000000123164	1.0000000000627258	5.348931591444833e-12	2.7241479467302745e-11	upregulated set	0.8433547106969492	-0.2457885458897999	0.7011259097325611	0.9999999999943993	0.15420398347153372	2.4323713852674953e-12
DAPK3	CAMK	4	169	0	35	380	11901	0.7412644036125817	-0.4319398617466954	0.790502984519958	0.9999999999943993	0.10209648606307879	2.4323713852674953e-12	0.447406015037594	-1.1603434424094776	0.9999999999825623	1.0000000000627258	7.573104676775631e-12	2.7241479467302745e-11	upregulated set	0.7412644036125817	-0.4319398617466954	0.790502984519958	0.9999999999943993	0.10209648606307879	2.4323713852674953e-12
STLK3	STE	17	169	4	35	1338	11901	0.8947249714755752	-0.160483812806869	0.7212920272930936	0.9999999999943993	0.14188886820054994	2.4323713852674953e-12	1.016527866752082	0.02364976528000951	0.5651382976371625	1.0000000000627258	0.24784526093973666	2.7241479467302745e-11	downregulated set	0.9837408621124275	-0.02364976528000951	0.5651382976371625	1.0000000000627258	0.24784526093973666	2.7241479467302745e-11
HASPIN	Other	11	169	2	35	532	11901	1.4560550785247142	0.5420649297203601	0.14028135419888121	0.7474581406770058	0.8530000503307203	0.12641312378215885	1.2783029001074113	0.35422973042028066	0.46845746602385435	1.0000000000627258	0.32932983510642816	2.7241479467302745e-11	upregulated set	1.4560550785247142	0.5420649297203601	0.14028135419888121	0.7474581406770058	0.8530000503307203	0.12641312378215885
PASK	CAMK	4	169	0	35	530	11901	0.5314725912693982	-0.9119328028663093	0.9450490436320637	0.9999999999943993	0.024545653050420616	2.4323713852674953e-12	0.3207816711590296	-1.6403363835290914	1.0000000000241154	1.0000000000627258	1.0473174883122348e-11	2.7241479467302745e-11	upregulated set	0.5314725912693982	-0.9119328028663093	0.9450490436320637	0.9999999999943993	0.024545653050420616	2.4323713852674953e-12
MPSK1	Other	19	169	4	35	1138	11901	1.1757313255893762	0.23355841772125613	0.2653152920394534	0.9803723596091999	0.5762377177637832	0.008608941645194813	1.1951795129299523	0.2572273236148884	0.43426121157486525	1.0000000000627258	0.3622489603022976	2.7241479467302745e-11	downregulated set	0.8366943954289555	-0.2572273236148884	0.43426121157486525	1.0000000000627258	0.3622489603022976	2.7241479467302745e-11
AMPKA2	CAMK	8	169	2	35	423	11901	1.3318225691384447	0.4134018934643026	0.2573508678461715	0.9803723596091999	0.5894743628707072	0.008608941645194813	1.6077001013171226	0.6849983128015207	0.355707842596478	1.0000000000627258	0.44890655944501406	2.7241479467302745e-11	downregulated set	0.6220065540710865	-0.6849983128015207	0.355707842596478	1.0000000000627258	0.44890655944501406	2.7241479467302745e-11
PRKD3	CAMK	4	169	1	35	275	11901	1.0242926304464766	0.03462793817223045	0.5514255252187432	0.9999999999943993	0.2585131344850959	2.4323713852674953e-12	1.2364675324675325	0.30622435750944843	0.5595694282348708	1.0000000000627258	0.2521460209700347	2.7241479467302745e-11	downregulated set	0.8087555667590959	-0.30622435750944843	0.5595694282348708	1.0000000000627258	0.2521460209700347	2.7241479467302745e-11
ULK2	Other	9	169	6	35	728	11901	0.8705783861109305	-0.19995389217213141	0.7113767158424209	0.9999999999943993	0.14790035386297684	2.4323713852674953e-12	2.8024332810047095	1.4866800264439302	0.018621750559321883	1.0000000000627258	1.7299794950776548	2.7241479467302745e-11	downregulated set	0.356832759151892	-1.4866800264439302	0.018621750559321883	1.0000000000627258	1.7299794950776548	2.7241479467302745e-11
AMPKA1	CAMK	5	169	3	35	445	11901	0.791237284755003	-0.3378176843821453	0.7603861944246355	0.9999999999943993	0.11896577678769496	2.4323713852674953e-12	2.292327447833066	1.1968131407888665	0.14268808301435099	1.0000000000627258	0.8456122966626797	2.7241479467302745e-11	downregulated set	0.43623785116096686	-1.1968131407888665	0.14268808301435099	1.0000000000627258	0.8456122966626797	2.7241479467302745e-11
PRKD2	CAMK	7	169	1	35	391	11901	1.2607182312080996	0.3342458713345045	0.323732739374609	0.9999999999943993	0.4898133777962429	2.4323713852674953e-12	0.8696382900986482	-0.20151263138588182	0.689775430145579	1.0000000000627258	0.1612922792963128	2.7241479467302745e-11	upregulated set	1.2607182312080996	0.3342458713345045	0.323732739374609	0.9999999999943993	0.4898133777962429	2.4323713852674953e-12
ULK1	Other	11	169	4	35	816	11901	0.9492908109989558	-0.0750779767499458	0.6147240256331638	0.9999999999943993	0.2113198127519236	2.4323713852674953e-12	1.6668067226890757	0.7370868239499748	0.21738788891751876	1.0000000000627258	0.6627646549268388	2.7241479467302745e-11	downregulated set	0.5999495840685657	-0.7370868239499748	0.21738788891751876	1.0000000000627258	0.6627646549268388	2.7241479467302745e-11
PRKD1	CAMK	13	169	2	35	741	11901	1.2354406726876364	0.3050257324195109	0.25788730058352205	0.9803723596091999	0.5885700437569639	0.008608941645194813	0.9177559282822441	-0.12381756638436352	0.6499528946340873	1.0000000000627258	0.18711811772914252	2.7241479467302745e-11	upregulated set	1.2354406726876364	0.3050257324195109	0.25788730058352205	0.9803723596091999	0.5885700437569639	0.008608941645194813
WNK4	Other	8	169	2	35	474	11901	1.1885252041045615	0.24917249768599348	0.3628114977457764	0.9999999999943993	0.44031895830317186	2.4323713852674953e-12	1.4347197106690779	0.5207689170232114	0.4096657998959189	1.0000000000627258	0.38757029071234034	2.7241479467302745e-11	downregulated set	0.6970002520796571	-0.5207689170232114	0.4096657998959189	1.0000000000627258	0.38757029071234034	2.7241479467302745e-11
NLK	CMGC	12	169	4	35	592	11901	1.4274348312809853	0.513424881676459	0.1406109373550803	0.7474581406770058	0.8519808966119725	0.12641312378215885	2.2974903474903474	1.2000588002925205	0.0951060112383324	1.0000000000627258	1.0217920323251353	2.7241479467302745e-11	downregulated set	0.43525754138307704	-1.2000588002925205	0.0951060112383324	1.0000000000627258	1.0217920323251353	2.7241479467302745e-11
